"editor","year","changesets","users"
"parceco","2017","7","1"
"iD 2.14.","2019","7","3"
"Aseri","2016","7","1"
"shahadat","2017","7","1"
"osm-tool","2016","7","1"
"VAG Stat","2017","7","1"
"sikaSimp","2015","7","1"
"POI Coll","2015","7","5"
"Map Ques","2017","7","1"
"SenVital","2015","7","1"
"BioZell ","2015","7","7"
"iD 2.4.2","2017","7","1"
"HouseNum","2015","7","2"
"die Plus","2015","7","1"
"GummuFor","2020","7","1"
"finde.ca","2020","7","2"
"Mapcat 0","2017","7","5"
"Praxis f","2015","7","7"
"Open Hyd","2016","7","2"
"OSM Conf","2017","7","2"
"geoMapTo","2016","6","5"
"OSMPOIEd","2017","6","1"
"Bembé Pa","2015","6","1"
"Citypedi","2018","6","1"
"Stekki (","2019","6","1"
"Melik198","2016","6","1"
"Schlüsse","2015","6","6"
"names.os","2015","6","1"
"AroundMe","2015","6","2"
"inlingua","2015","6","1"
"ziflo","2015","6","1"
"Steuerbe","2015","6","6"
"Карты На","2018","6","1"
"abbas ka","2016","6","1"
"osmCorre","2017","6","1"
"賴信良","2016","6","1"
"not MAPS","2017","6","1"
"AWSbot","2015","6","1"
"OpenStre","2018","6","1"
"mapthis.","2017","6","6"
"ReachLoc","2015","6","1"
"Kikimora","2016","6","1"
"GeoSocia","2016","6","1"
"JOSM","2016","6","5"
"http://l","2020","6","2"
"David Pé","2020","6","1"
"Disable ","2018","6","1"
"mheimhei","2016","6","1"
"Juwelier","2015","6","6"
"Map The ","2018","5","1"
"togaasel","2016","5","1"
"XmaX and","2016","5","1"
"shed 0.2","2017","5","1"
"osmbot 0","2020","5","1"
"OSM Chec","2017","5","1"
"Addxy","2016","5","1"
"abel1973","2016","5","1"
"ITOybbag","2017","5","1"
"rraaddaa","2020","5","1"
"Hanttn","2017","5","1"
"Marc O' ","2015","5","1"
"ID 2.1.3","2017","5","1"
"Live Con","2019","5","1"
"JOSM","2020","5","4"
"ALLROUND","2015","5","1"
"Angular-","2017","5","1"
"Mapzen P","2016","5","4"
"wemapp","2018","5","3"
"aaronsta","2019","5","1"
"Populate","2018","5","1"
"Карты На","2020","5","1"
"Wemapp(3","2019","5","1"
"ed. w ję","2016","5","1"
"ERIK DAR","2016","5","1"
"enavarre","2015","5","1"
"Senioren","2015","5","4"
"IamColle","2016","5","1"
"Gaurav","2015","5","1"
"shed 0.2","2016","5","1"
"OsmAnd 1","2020","5","1"
"SearchAr","2018","5","1"
"Open Sur","2016","5","1"
"UVR conn","2015","5","1"
"iCarto p","2016","5","1"
"Chartis ","2019","5","1"
"S-Immobi","2015","5","1"
"Itachi25","2017","5","1"
"Wir-sind","2015","5","1"
"res_test","2015","5","1"
"ID 1.7.1","2015","4","1"
"BKK S-H","2015","4","1"
"rahino(ر","2019","4","2"
"OsmAnd 1","2019","4","2"
"level0","2019","4","1"
"vsickyku","2015","4","1"
"OpenPlac","2020","4","1"
"MS Paint","2016","4","1"
"Fabrizio","2019","4","1"
"iD 2.9.1","2018","4","1"
"app","2016","4","1"
"EzekielT","2016","4","1"
"Aramendi","2015","4","1"
"Dr. Schu","2015","4","1"
"Primacom","2015","4","2"
"Jothirna","2015","4","1"
"Brandenb","2015","4","1"
"posiki_p","2020","4","1"
