"id","uid","user","num_changes","date","imagery_used","hashtags","created_by","min_lat","max_lat","min_lon","max_lon"
"88516335","2471547","mike140","24","2020-07-26",,,"JOSM/1.5 (16731 ru)","48.5453828","48.5994623","22.4838690","22.5452596"
"88516334","109705","gscholz","5","2020-07-26",,,"JOSM/1.5 (16731 de)","-27.5947367","-27.5131648","-57.0146826","-56.8579334"
"88516333","3376734","martinairmaps","32","2020-07-26","Bing;.gpx data file","#hotosm-project-1497;#m4r;#USAID;#PeaceCorps;#PCMozambique;#AIRSmoz2016;#youthmappers","iD 2.17.3","-17.6128980","-17.6094756","36.2562332","36.2586513"
"88516332","1568735","Jochtk","147","2020-07-26","gsi.go.jp_std_map;Bing",,"iD 2.18.3","35.6622842","35.6660988","138.5395780","138.5492765"
"88516331","8633489","KvardeX OSM","24","2020-07-26",,,"JOSM/1.5 (16731 ru)","49.1469980","49.1626175","83.2564544","83.2708893"
"88516330","1753492","Mohammadyamini","14","2020-07-26","Bing",,"iD 2.18.3","35.8445200","35.8503834","50.9821270","50.9831556"
"88516329","261189","Wright One","0","2020-07-26",,,"Level0 v1.2",,,,
"88516328","2259222","joder","2","2020-07-26",,,"MAPS.ME android 10.1.3-Google","48.0653097","48.0653390","16.3640430","16.3641021"
"88516327","19367","lastman","2","2020-07-26",,,"StreetComplete 20.2","45.8076367","45.8084290","8.8366144","8.8371781"
"88516326","352655","benjidad","71","2020-07-26",,,"JOSM/1.5 (16731 en)","-2.7445019","-2.7346748","120.2914309","120.2963367"
"88516325","11259648","jonasmonas","1","2020-07-26",,,"StreetComplete 21.2","43.2598931","43.2598931","-2.9366577","-2.9366577"
"88516324","11264048","SamPrice","5","2020-07-26","Bing;.gpx data file","#hotosm-project-8986;#covid19;#COVJam","iD 2.17.3","18.1918497","18.1919396","-76.5104986","-76.5104265"
"88516323","11367930","danielbir","0","2020-07-26",,,"Refill Südtirol / Alto Adige",,,,
"88516322","11552134","Krentzphotography","16","2020-07-26","id-embed",,"iD 2.18.3","50.7829262","50.7842208","6.1343109","6.1353853"
"88516321","10182515","ISHOE","24","2020-07-26","Maxar-Standard;.geojson data file",,"iD 2.18.3","10.9437723","10.9446894","76.1396125","76.1403576"
"88516320","7775678","crazy_mathi","334","2020-07-26",,"#hotosm-project-7709;#missingmaps;#indonesia;#redcross;#amm;#adt","JOSM/1.5 (16239 en)","-4.1259371","-4.1203100","105.0483982","105.0521358"
"88516319","343553","mathias_on_the_road","2","2020-07-26","Esri World Imagery",,"Go Map!! 1.7.1","53.5577313","53.5582069","9.8036932","9.8038288"
"88516318","9222322","Tensen","1","2020-07-26","Bing",,"iD 2.18.3","43.8307413","43.8320413","7.8305820","7.8327133"
"88516317","237600","Chris_Pakenham","1000","2020-07-26",,,"JOSM/1.5 (16731 en)","-16.0331098","-15.8835321","30.0487688","30.2694241"
"88516316","2098272","maraf24","408","2020-07-26",,,"JOSM/1.5 (16731 en)","50.8367992","50.8990218","16.6673613","16.7585758"
"88516315","11551703","JohnnyAZ520","1","2020-07-26","Bing",,"iD 2.18.3","32.7547735","32.7547735","-111.5570598","-111.5570598"
"88516314","11377198","Ben Pearcey","79","2020-07-26","Bing;.gpx data file","#hotosm-project-8988;#covid19;#COVJam","iD 2.17.3","18.0554833","18.0567136","-77.5400105","-77.5392029"
"88516313","10471608","Benjaminokeyoh1","236","2020-07-26",,"#hotosm-project-9053;#HOTMicrogrant;#covid19;#MapUganda","JOSM/1.5 (16731 en)","-0.5242660","-0.5218217","31.6681982","31.6713018"
"88516312","8971394","vojtechzaboril","96","2020-07-26",,,"JOSM/1.5 (16239 cs)","49.5038962","49.5284196","16.4354604","16.5303244"
"88516311","8722306","Poroing","10","2020-07-26",,,"JOSM/1.5 (16731 en)","50.9935107","50.9959653","2.3993137","2.4009901"
"88516310","2356849","Sigo","213","2020-07-26",,,"JOSM/1.5 (16731 fr)","45.2185183","45.3237672","4.2788215","4.4166505"
"88516309","11039596","Geomaplex","5","2020-07-26","Metropole_Ruhr_RVR-DOP10",,"iD 2.18.3","51.4566173","51.4598442","6.6293605","6.6380213"
"88516308","10355897","Buchenhaini","2","2020-07-26",,,"JOSM/1.5 (16731 de)","49.7663405","49.7665708","11.3492360","11.3496567"
"88516307","2340311","chaymard","5","2020-07-26","Bing",,"iD 2.18.3","50.7740545","50.7855734","14.5563697","14.5668149"
"88516306","11525683","arashbz98","8","2020-07-26","Bing",,"iD 2.18.3","35.6538563","35.6577560","51.3547322","51.3592855"
"88516305","3429710","Natalia18","2","2020-07-26","EsriWorldImagery",,"iD 2.18.3","59.8891749","59.8902803","30.4536127","30.4550832"
"88516304","2820801","Reino Baptista","275","2020-07-26",,,"JOSM/1.5 (16731 en)","41.1484550","41.2351734","-8.2286457","-8.1134610"
"88516303","6590101","HansWürstchen","1","2020-07-26","EsriWorldImageryClarity",,"iD 2.18.3","51.7415868","51.7415868","11.0136785","11.0136785"
"88516302","204518","berndi","1","2020-07-26",,,"OsmHydrant v1 / http://yapafo.net v0.3","50.6542545","50.6542545","9.2625368","9.2625368"
"88516301","10252542","karmsudi","12","2020-07-26","Esri World Imagery",,"iD 2.17.2","50.0015660","50.0036451","8.1036218","8.1073904"
"88516300","108446","Dennis Kjær Jensen","6","2020-07-26",,,"StreetComplete 21.2","55.5915440","55.5927869","12.6711114","12.6731926"
"88516299","156646","archie","18","2020-07-26",,,"JOSM/1.5 (16731 en_GB)","57.3946950","57.4052192","12.1020876","12.1120861"
"88516298","11343773","NoName11234","4","2020-07-26",,,"StreetComplete 21.2","48.4000975","48.4005824","8.4982010","8.5002460"
"88516297","137242","Rainero","1","2020-07-26",,,"JOSM/1.5 (16731 de)","52.4014329","52.4014329","9.7630895","9.7630895"
"88516296","11409388","Hutte","18","2020-07-26","lantmateriet-topowebb",,"iD 2.18.3","57.4178364","57.4185367","12.1305347","12.1327428"
"88516295","7553970","norbi998","8","2020-07-26",,,"OsmHydrant v1 / http://yapafo.net v0.3","53.0708998","53.0881581","18.1407727","18.2592133"
"88516294","10947284","Steve J H","266","2020-07-26",,,"JOSM/1.5 (16731 en_GB)","-14.0660002","-14.0622593","33.8067467","33.8104062"
"88516293","1098648","gsperb","232","2020-07-26",,,"JOSM/1.5 (16731 de)","49.9399802","49.9420219","10.1836871","10.1867522"
